time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,weathercode,shortwave_radiation_sum
2024-01-01,7.5,-7.3,-1.9,0.0,0.0,0.0,2.8,4.7,88,3.0,11.45
2024-01-02,6.2,-7.2,-1.1,0.0,0.0,0.0,2.24,5.6,72,0.0,11.67
2024-01-03,8.0,-8.6,-1.8,0.0,0.0,0.0,2.51,4.1,152,0.0,11.85
2024-01-04,5.4,-7.5,-1.8,0.0,0.0,0.0,2.75,6.5,57,0.0,11.75
2024-01-05,6.5,-8.7,-2.3,0.0,0.0,0.0,1.94,4.8,117,3.0,10.45
2024-01-06,5.9,-8.2,-2.1,0.0,0.0,0.0,1.84,4.1,66,0.0,11.92
2024-01-07,6.7,-7.9,-1.6,0.0,0.0,0.0,2.24,4.1,84,1.0,12.05
2024-01-08,6.7,-8.1,-1.2,0.0,0.0,0.0,5.25,11.4,64,2.0,11.99
2024-01-09,8.2,-6.7,-1.1,0.0,0.0,0.0,2.7,4.7,106,0.0,12.38
2024-01-10,9.0,-6.5,-0.6,0.0,0.0,0.0,1.84,4.6,165,2.0,12.27
2024-01-11,13.2,-7.4,1.0,0.0,0.0,0.0,3.74,7.6,224,0.0,12.51
2024-01-12,14.0,-2.5,3.6,0.0,0.0,0.0,2.48,5.4,185,0.0,12.74
2024-01-13,7.6,-3.6,1.2,0.0,0.0,0.0,4.56,9.3,63,0.0,12.49
2024-01-14,7.9,-8.3,-1.0,0.0,0.0,0.0,1.97,4.5,71,2.0,12.34
2024-01-15,7.0,-4.2,0.6,0.1,0.0,0.07,1.81,4.7,67,71.0,11.66
2024-01-16,8.3,-4.2,0.7,0.0,0.0,0.0,2.7,4.7,47,2.0,12.68
2024-01-17,9.3,-5.9,0.4,0.0,0.0,0.0,3.14,6.3,77,1.0,11.67
2024-01-18,6.8,-2.7,1.2,0.0,0.0,0.0,3.44,6.7,72,3.0,10.07
2024-01-19,2.7,-6.3,-1.5,0.0,0.0,0.0,5.5,10.9,61,3.0,9.67
2024-01-20,1.8,-8.0,-3.8,0.4,0.0,0.28,8.13,15.8,51,71.0,12.75
2024-01-21,-7.0,-13.7,-10.1,0.6,0.0,0.42,4.69,9.4,50,71.0,12.49
2024-01-22,-4.0,-16.8,-10.8,0.0,0.0,0.0,5.06,10.0,48,2.0,13.54
2024-01-23,-4.7,-13.8,-9.9,0.0,0.0,0.0,3.47,7.1,46,3.0,12.81
2024-01-24,-2.9,-14.0,-9.4,0.0,0.0,0.0,3.4,6.9,41,3.0,13.69
2024-01-25,-4.0,-12.0,-8.6,0.0,0.0,0.0,3.64,8.0,53,3.0,10.17
2024-01-26,-0.6,-15.1,-8.3,0.0,0.0,0.0,4.7,9.2,48,0.0,14.26
2024-01-27,3.9,-14.5,-6.2,0.0,0.0,0.0,2.88,4.7,60,0.0,14.29
2024-01-28,5.1,-11.3,-4.5,0.0,0.0,0.0,2.72,5.1,64,0.0,14.45
2024-01-29,7.2,-9.5,-2.6,0.0,0.0,0.0,2.86,6.7,98,3.0,13.65
2024-01-30,8.9,-7.9,-0.5,0.0,0.0,0.0,3.4,7.0,71,1.0,14.31
2024-01-31,2.2,-4.8,-1.3,0.8,0.0,0.56,2.14,4.9,62,71.0,6.2
2024-02-01,7.7,-6.2,-0.8,0.0,0.0,0.0,3.58,7.4,78,3.0,10.38
2024-02-02,1.1,-2.2,-0.7,2.5,0.0,1.75,4.34,8.7,51,73.0,9.47
2024-02-03,0.3,-3.3,-1.6,1.3,0.0,0.91,2.91,4.8,47,71.0,9.61
2024-02-04,3.4,-7.5,-2.7,0.0,0.0,0.0,1.84,5.1,64,3.0,15.4
2024-02-05,0.9,-6.8,-3.4,0.0,0.0,0.0,4.41,8.9,49,3.0,11.95
2024-02-06,2.1,-5.7,-2.6,0.0,0.0,0.0,3.36,7.0,50,3.0,11.46
2024-02-07,2.4,-5.8,-2.7,0.0,0.0,0.0,3.5,8.2,37,3.0,12.72
2024-02-08,6.4,-8.0,-2.2,0.0,0.0,0.0,3.76,6.9,63,0.0,15.78
2024-02-09,9.7,-7.5,0.4,0.0,0.0,0.0,4.49,9.3,257,2.0,16.01
2024-02-10,10.4,-5.1,1.4,0.0,0.0,0.0,3.38,5.1,110,1.0,16.52
2024-02-11,12.5,-4.8,2.1,0.0,0.0,0.0,2.33,4.7,89,0.0,16.91
2024-02-12,14.8,-3.0,3.9,0.0,0.0,0.0,2.38,4.8,107,0.0,17.02
2024-02-13,13.5,-3.3,3.8,0.0,0.0,0.0,6.62,11.6,42,2.0,16.38
2024-02-14,6.7,0.2,2.5,0.0,0.0,0.0,4.89,10.0,52,3.0,15.13
2024-02-15,12.2,-5.0,2.4,0.0,0.0,0.0,4.24,9.3,216,1.0,17.26
2024-02-16,18.0,-4.0,5.6,0.0,0.0,0.0,3.04,6.9,184,1.0,17.42
2024-02-17,21.0,-2.0,7.8,0.0,0.0,0.0,8.71,12.2,85,3.0,16.88
2024-02-18,2.5,-7.0,-3.8,0.0,0.0,0.0,6.15,14.2,52,3.0,15.61
2024-02-19,4.7,-8.7,-2.6,0.0,0.0,0.0,2.19,6.1,64,2.0,15.26
2024-02-20,0.1,-6.6,-3.4,0.6,0.0,0.42,7.08,14.1,46,71.0,8.15
2024-02-21,-3.8,-9.1,-6.7,0.4,0.0,0.28,3.49,7.5,52,71.0,12.13
2024-02-22,-2.5,-10.5,-6.4,0.9,0.0,0.63,2.84,6.3,55,73.0,9.52
2024-02-23,-1.1,-6.6,-4.4,1.4,0.0,0.98,3.49,7.3,37,73.0,9.55
2024-02-24,4.3,-9.9,-3.5,0.0,0.0,0.0,2.71,6.0,70,3.0,16.57
2024-02-25,2.0,-5.8,-1.8,1.4,0.0,0.98,3.61,8.0,87,71.0,8.11
2024-02-26,3.4,-3.1,-0.3,0.0,0.0,0.0,4.94,9.9,64,3.0,14.57
2024-02-27,3.2,-5.0,-0.6,0.0,0.0,0.0,4.56,9.6,51,3.0,13.46
2024-02-28,0.7,-2.3,-0.5,2.1,0.0,1.54,6.36,12.6,40,71.0,8.55
2024-02-29,-1.1,-5.5,-3.2,1.8,0.0,1.33,5.8,11.7,46,71.0,12.39
2024-03-01,-0.5,-8.7,-4.6,0.3,0.0,0.21,2.97,6.5,46,71.0,13.62
2024-03-02,10.4,-9.8,-0.6,0.0,0.0,0.0,2.66,5.7,152,0.0,20.02
2024-03-03,10.0,-3.0,2.6,0.0,0.0,0.0,3.21,6.9,102,3.0,14.22
2024-03-04,6.5,-0.4,2.5,0.1,0.1,0.0,5.67,11.5,56,51.0,14.38
2024-03-05,4.1,-1.2,1.1,0.2,0.0,0.14,4.84,10.3,50,71.0,14.82
2024-03-06,9.2,-5.0,1.9,0.0,0.0,0.0,6.06,12.5,41,3.0,19.45
2024-03-07,10.3,-3.8,2.8,0.0,0.0,0.0,3.81,8.0,84,3.0,20.79
2024-03-08,12.9,-2.1,4.5,0.0,0.0,0.0,3.69,7.9,68,2.0,19.25
2024-03-09,16.3,0.2,7.3,0.1,0.1,0.0,4.94,10.1,53,51.0,20.75
2024-03-10,12.0,3.9,7.5,0.1,0.1,0.0,4.61,9.1,327,51.0,18.28
2024-03-11,17.2,-1.6,7.6,0.0,0.0,0.0,4.07,7.9,60,0.0,21.8
2024-03-12,15.5,0.1,7.4,0.4,0.4,0.0,6.63,13.0,54,51.0,15.31
2024-03-13,16.7,0.0,8.6,0.0,0.0,0.0,3.09,5.1,70,3.0,21.97
2024-03-14,17.5,1.1,9.6,0.0,0.0,0.0,7.48,15.0,144,3.0,18.57
2024-03-15,14.8,3.4,9.4,0.0,0.0,0.0,6.86,13.4,59,2.0,19.67
2024-03-16,12.6,3.9,8.6,0.2,0.2,0.0,4.12,9.2,77,51.0,18.19
2024-03-17,12.0,2.3,7.1,0.0,0.0,0.0,6.29,12.2,54,3.0,16.44
