time,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum
2024-01-01,1.0,23.5,18.2,20.2,0.0,0.0,0.0,4.9,9.9,94,14.44
2024-01-02,2.0,20.3,17.0,18.4,0.0,0.0,0.0,4.81,10.5,102,14.94
2024-01-03,3.0,20.0,14.2,17.4,0.0,0.0,0.0,6.23,12.5,17,14.54
2024-01-04,2.0,19.2,12.2,15.2,0.0,0.0,0.0,4.58,8.9,58,14.72
2024-01-05,2.0,22.2,15.0,18.0,0.0,0.0,0.0,3.09,8.0,84,14.71
2024-01-06,2.0,24.7,15.2,19.2,0.0,0.0,0.0,1.77,5.3,50,15.09
2024-01-07,3.0,22.8,17.4,19.4,0.0,0.0,0.0,4.5,10.9,88,15.29
2024-01-08,3.0,22.1,17.2,19.1,0.0,0.0,0.0,4.72,10.4,101,14.05
2024-01-09,3.0,23.8,18.2,20.5,0.0,0.0,0.0,3.01,6.5,52,12.34
2024-01-10,2.0,23.1,16.5,19.3,0.0,0.0,0.0,5.22,11.1,33,16.19
2024-01-11,2.0,21.2,16.1,18.3,0.0,0.0,0.0,4.04,8.4,60,13.39
2024-01-12,3.0,21.6,16.5,18.4,0.0,0.0,0.0,2.82,6.4,98,10.92
2024-01-13,2.0,22.5,16.8,18.9,0.0,0.0,0.0,3.7,7.7,90,7.07
2024-01-14,2.0,24.4,16.3,19.4,0.0,0.0,0.0,3.79,8.8,81,14.24
2024-01-15,1.0,25.0,15.6,19.7,0.0,0.0,0.0,5.95,11.9,90,16.97
2024-01-16,1.0,22.2,16.2,18.8,0.0,0.0,0.0,6.21,12.9,94,15.72
2024-01-17,3.0,22.2,16.7,19.2,0.0,0.0,0.0,4.32,11.2,83,12.64
2024-01-18,2.0,24.5,18.7,20.7,0.0,0.0,0.0,2.9,9.1,98,14.5
2024-01-19,2.0,24.7,17.3,20.4,0.0,0.0,0.0,3.38,8.6,100,16.33
2024-01-20,3.0,24.8,17.1,20.5,0.0,0.0,0.0,5.63,10.9,20,13.48
2024-01-21,3.0,20.5,13.4,17.0,0.0,0.0,0.0,5.48,10.5,26,15.19
2024-01-22,51.0,16.5,7.5,12.6,0.2,0.2,0.0,8.25,15.2,19,7.64
2024-01-23,53.0,8.0,4.7,6.1,4.6,4.6,0.0,7.71,15.1,16,3.66
2024-01-24,3.0,9.1,4.2,6.6,0.0,0.0,0.0,6.04,12.0,20,6.08
2024-01-25,3.0,14.0,7.2,10.4,0.0,0.0,0.0,4.59,9.2,15,11.28
2024-01-26,3.0,15.9,10.1,12.5,0.0,0.0,0.0,4.0,8.1,26,9.69
2024-01-27,51.0,14.0,10.7,12.3,1.9,1.9,0.0,4.57,9.7,17,5.03
2024-01-28,53.0,13.3,9.4,11.2,4.9,4.9,0.0,4.92,9.8,29,5.97
2024-01-29,51.0,16.8,11.7,14.7,0.2,0.2,0.0,3.58,8.7,57,6.67
2024-01-30,3.0,21.0,16.5,18.3,0.0,0.0,0.0,3.28,8.0,85,10.35
2024-01-31,51.0,23.8,18.2,20.6,0.6,0.6,0.0,3.35,8.2,97,9.1
2024-02-01,51.0,25.0,20.2,21.9,0.2,0.2,0.0,3.14,7.0,125,11.98
2024-02-02,51.0,25.2,20.1,22.0,0.2,0.2,0.0,5.1,9.9,106,11.94
2024-02-03,3.0,23.3,19.2,20.7,0.0,0.0,0.0,5.26,10.2,104,13.82
2024-02-04,53.0,22.0,19.6,20.5,1.0,1.0,0.0,4.05,9.3,103,7.41
2024-02-05,51.0,20.3,16.4,18.7,0.5,0.5,0.0,4.79,8.9,38,9.11
2024-02-06,51.0,21.9,18.0,19.3,0.8,0.8,0.0,5.2,9.9,89,10.08
2024-02-07,53.0,19.2,11.1,15.0,4.3,4.3,0.0,5.32,11.0,22,3.88
2024-02-08,53.0,11.1,9.6,10.3,4.1,4.1,0.0,5.73,10.2,18,3.01
2024-02-09,51.0,13.8,8.9,11.0,2.9,2.9,0.0,5.81,11.0,15,8.22
2024-02-10,51.0,19.5,11.1,14.6,0.5,0.5,0.0,4.34,9.1,25,17.61
2024-02-11,0.0,22.5,11.5,16.3,0.0,0.0,0.0,3.32,8.2,52,20.52
2024-02-12,0.0,21.6,13.8,17.3,0.0,0.0,0.0,4.83,12.0,95,20.16
2024-02-13,0.0,23.1,15.3,18.7,0.0,0.0,0.0,3.67,10.0,96,18.64
2024-02-14,2.0,24.7,16.7,20.0,0.0,0.0,0.0,3.28,8.5,110,18.6
2024-02-15,3.0,25.6,17.7,21.0,0.0,0.0,0.0,2.2,6.4,327,17.99
2024-02-16,2.0,23.2,17.0,19.9,0.0,0.0,0.0,4.56,9.3,63,18.3
2024-02-17,3.0,23.7,18.1,20.5,0.0,0.0,0.0,4.82,10.0,113,17.65
2024-02-18,51.0,26.2,20.0,22.5,0.3,0.3,0.0,5.07,11.2,142,14.39
2024-02-19,3.0,24.4,20.9,22.4,0.0,0.0,0.0,4.8,9.2,157,11.7
2024-02-20,51.0,26.7,21.5,23.8,1.7,1.7,0.0,6.11,12.4,159,16.21
2024-02-21,1.0,27.7,22.3,24.3,0.0,0.0,0.0,5.47,11.8,165,19.31
2024-02-22,51.0,26.7,21.2,23.5,1.2,1.2,0.0,3.79,8.3,141,14.66
2024-02-23,51.0,21.0,16.3,18.5,1.3,1.3,0.0,5.32,10.2,22,11.98
2024-02-24,3.0,17.2,13.9,15.3,0.0,0.0,0.0,4.83,9.6,15,8.65
2024-02-25,3.0,15.6,11.8,13.5,0.0,0.0,0.0,5.02,10.0,13,7.84
2024-02-26,3.0,19.3,12.9,15.6,0.0,0.0,0.0,4.71,8.7,18,13.15
2024-02-27,3.0,17.7,12.3,14.8,0.0,0.0,0.0,5.1,10.1,23,11.4
2024-02-28,51.0,20.5,15.5,17.7,0.5,0.5,0.0,4.49,10.2,67,11.8
2024-02-29,53.0,20.6,12.5,17.5,1.3,1.3,0.0,7.09,13.7,16,6.43
2024-03-01,51.0,12.3,9.8,11.2,1.8,1.8,0.0,6.67,12.8,14,4.69
2024-03-02,51.0,13.7,8.7,10.8,3.5,3.5,0.0,5.82,11.0,21,5.89
2024-03-03,51.0,19.3,13.0,16.1,0.7,0.7,0.0,5.55,10.7,94,9.15
2024-03-04,51.0,23.1,18.2,20.7,2.1,2.1,0.0,7.29,14.7,137,13.62
2024-03-05,51.0,25.7,21.9,23.4,0.8,0.8,0.0,6.48,13.4,177,14.14
2024-03-06,51.0,23.3,17.1,21.6,2.0,2.0,0.0,6.04,12.1,21,9.13
2024-03-07,51.0,18.9,15.5,17.0,1.9,1.9,0.0,6.11,11.5,28,7.89
2024-03-08,51.0,21.1,15.5,17.7,0.8,0.8,0.0,5.0,10.3,57,12.37
