步骤编号,工作状态（ON/OFF）,运行时间（min）,起始温度（℃）,终点温度（℃）,湿度控制标志（ON/OFF）,起始湿度（%）,终点湿度（%）,日照控制标志（ON/OFF）,日照控制方式（开环/闭环）,日照起始角度（°）,日照终点角度（°）,起始日照强度（W/m2）,终点日照强度（W/m2）,降雨控制标志（ON/OFF）,起始降雨量（mm/h）,终点降雨量（mm/h）,风速控制标志（ON/OFF）,起始风速（m/s）,终点风速（m/s）,降雪控制标志（ON/OFF）,起始降雪量（mm/h）,终点降雪量（mm/h）
1,ON,2.9,20.0,11.2,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
2,ON,17.1,11.2,11.2,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,ON,60,60,ON,3.33,3.33,OFF,0.0,0.0
3,ON,17.1,11.2,11.2,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,ON,3.33,3.33,OFF,0.0,0.0
4,ON,17.1,11.2,11.2,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,ON,60,60,ON,3.33,3.33,OFF,0.0,0.0
5,ON,1.0,11.2,12.2,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
6,ON,720.0,12.2,12.2,OFF,50.0,50.0,ON,开环,27.1,90.0,1000,1000,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
7,ON,1.2,12.2,15.8,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
8,ON,720.0,15.8,15.8,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
9,ON,1.0,15.8,17.5,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
10,ON,17.5,17.5,17.5,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,ON,60,60,ON,3.33,3.33,OFF,0.0,0.0
11,ON,17.5,17.5,17.5,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,ON,3.33,3.33,OFF,0.0,0.0
12,ON,17.5,17.5,17.5,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,ON,60,60,ON,3.33,3.33,OFF,0.0,0.0
13,ON,1.0,17.5,17.9,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
14,ON,720.0,17.9,17.9,OFF,50.0,50.0,ON,开环,13.9,90.0,1000,1000,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
15,ON,1.0,17.9,15.8,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
16,ON,720.0,15.8,15.8,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
17,ON,2.8,15.8,24.1,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
18,ON,19.5,24.1,24.1,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,ON,60,60,ON,3.33,3.33,OFF,0.0,0.0
19,ON,1.0,24.1,23.1,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
20,ON,720.0,23.1,23.1,OFF,50.0,50.0,ON,开环,42.7,90.0,1000,1000,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
21,ON,2.4,23.1,15.8,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
22,ON,720.0,15.8,15.8,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
23,ON,1.3,15.8,19.8,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
24,ON,20.6,19.8,19.8,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,ON,60,60,ON,3.33,3.33,OFF,0.0,0.0
25,ON,20.6,19.8,19.8,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,ON,3.33,3.33,OFF,0.0,0.0
26,ON,20.6,19.8,19.8,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,ON,60,60,ON,3.33,3.33,OFF,0.0,0.0
27,ON,720.0,19.8,19.8,OFF,50.0,50.0,ON,开环,26.5,90.0,1000,1000,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
28,ON,1.3,19.8,15.8,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
29,ON,720.0,15.8,15.8,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
30,ON,3.9,15.8,27.4,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
31,ON,17.0,27.4,27.4,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,ON,60,60,ON,3.33,3.33,OFF,0.0,0.0
32,ON,17.0,27.4,27.4,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,ON,3.33,3.33,OFF,0.0,0.0
33,ON,17.0,27.4,27.4,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,ON,60,60,ON,3.33,3.33,OFF,0.0,0.0
34,ON,1.0,27.4,25.7,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
35,ON,720.0,25.7,25.7,OFF,50.0,50.0,ON,开环,32.3,90.0,1000,1000,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
36,ON,3.3,25.7,15.8,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
37,ON,720.0,15.8,15.8,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
38,ON,3.4,15.8,26.1,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
39,ON,22.5,26.1,26.1,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,ON,60,60,ON,3.33,3.33,OFF,0.0,0.0
